name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Fresh Bowl,No,No,3.3,0,Indiranagar,Delivery,others,400.0,Delivery
Dhyaana,Yes,No,4.3,153,Indiranagar,Cafe,others,600.0,Cafes
Zyara,Yes,No,3.9,191,HBR Layout,Casual Dining,"North Indian, Mughlai, Chinese",650.0,Delivery
The Reservoire,No,Yes,4.6,2579,Koramangala 5th Block,others,others,1300.0,Dine-out
Sweet Truth,Yes,No,3.8,36,Sarjapur Road,Delivery,"Bakery, Desserts",500.0,Delivery
Loca Moca,No,No,3.7,46,Koramangala 1st Block,Cafe,"Cafe, Continental",600.0,Cafes
Kloudish Kitchen,Yes,No,3.5,15,Hennur,Delivery,"North Indian, South Indian",250.0,Delivery
New Punjabi Hotel,Yes,No,3.2,393,Old Airport Road,Quick Bites,"North Indian, Chinese",400.0,Delivery
Chaska Bun,Yes,No,4.2,166,Koramangala 5th Block,Quick Bites,Fast Food,300.0,Delivery
Mamaji's,Yes,No,3.8,36,HBR Layout,Casual Dining,North Indian,600.0,Dine-out
Dine In,No,No,3.5,8,Brigade Road,Quick Bites,others,400.0,Dine-out
Black Cup Cafe,Yes,No,3.7,28,BTM,Cafe,others,400.0,Dine-out
Prost Brew Pub,No,Yes,4.5,7854,Koramangala 4th Block,others,others,1800.0,Dine-out
The Wok Shop,Yes,No,4.1,270,Koramangala 1st Block,Quick Bites,others,500.0,Delivery
THE RIG,No,Yes,4.3,1764,Sarjapur Road,others,others,1500.0,Drinks & nightlife
Kabab Mehal,Yes,No,3.7,66,JP Nagar,Quick Bites,others,400.0,Delivery
Shadow Kolkata Katti Rolls & Momos,Yes,No,4.0,0,Brigade Road,Quick Bites,others,250.0,Delivery
S P Dum Biryani,Yes,No,3.3,77,Jeevan Bhima Nagar,Delivery,Biryani,400.0,Delivery
MM Bar & Restaurant,No,No,3.4,6,Shivajinagar,others,"South Indian, North Indian",700.0,Drinks & nightlife
The Paratha Company,Yes,No,4.3,291,Koramangala 4th Block,Delivery,North Indian,400.0,Delivery
Urban Tamaasha,Yes,Yes,4.1,880,Indiranagar,Casual Dining,"North Indian, Chinese, Continental",1200.0,Delivery
Paratha Darbar,Yes,No,3.5,14,Koramangala 1st Block,Quick Bites,North Indian,400.0,Delivery
Tandoor Garden,Yes,No,3.6,71,BTM,Quick Bites,others,350.0,Delivery
Red Stone Kitchen,Yes,No,3.8,91,Marathahalli,Casual Dining,"North Indian, Chinese, Seafood",750.0,Delivery
Ambur Dum Biryani,No,No,3.4,0,BTM,Quick Bites,Biryani,200.0,Dine-out
Hushy's Kitchen,Yes,No,3.5,58,Shanti Nagar,Quick Bites,Fast Food,300.0,Dine-out
Chocalot,No,No,3.2,0,Koramangala 5th Block,Dessert Parlor,Desserts,800.0,Desserts
Bhojohori Manna,Yes,No,4.1,1962,Koramangala 6th Block,Casual Dining,others,650.0,Dine-out
Being Healthy,No,No,3.6,0,Koramangala 6th Block,Delivery,others,300.0,Delivery
Paper Cup Cafe,No,No,3.5,11,Kalyan Nagar,Quick Bites,others,400.0,Dine-out
Food Point,No,No,3.3,0,Electronic City,Quick Bites,"North Indian, South Indian, Chinese",300.0,Delivery
Oogway Express,Yes,No,3.7,19,Marathahalli,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery
Little Bites,No,No,3.8,184,New BEL Road,Quick Bites,Fast Food,400.0,Delivery
Hotel Pork Paradise,No,No,3.7,21,Mysore Road,Quick Bites,South Indian,300.0,Delivery
Pop Hop,Yes,No,4.1,205,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",300.0,Desserts
Real Fresh Dosa Corner,Yes,No,4.2,264,Brookefield,Quick Bites,South Indian,200.0,Delivery
Choo Zi,No,No,3.0,0,Koramangala 5th Block,Delivery,Chinese,300.0,Delivery
Stories,Yes,Yes,4.2,2206,JP Nagar,others,others,1200.0,Delivery
Sri Krishna Upahar,No,No,4.0,0,Shivajinagar,Quick Bites,others,200.0,Dine-out
Biryani Miya,Yes,No,3.8,44,Sarjapur Road,Delivery,"Biryani, North Indian",600.0,Delivery
U K Saviruchi Food Store,No,No,2.8,0,Vijay Nagar,Quick Bites,"South Indian, North Indian",150.0,Delivery
Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,"Fast Food, Beverages",400.0,Delivery
KAARA BY THE LAKE,No,No,4.0,47,Ulsoor,Cafe,others,750.0,Delivery
Shater Grill House,No,No,3.5,8,BTM,Casual Dining,others,700.0,Dine-out
Sri Lakshmi Curries & Pickles,No,No,2.9,60,JP Nagar,Casual Dining,"Andhra, Biryani",400.0,Dine-out
Ambur Hotel,No,No,3.4,0,Bannerghatta Road,Quick Bites,South Indian,250.0,Dine-out
Stoner,Yes,No,4.5,2629,Koramangala 5th Block,others,others,500.0,Desserts
eat.fit,Yes,Yes,4.1,121,Church Street,Quick Bites,others,300.0,Dine-out
The Bar Stock Exchange,No,No,4.3,606,St. Marks Road,others,others,1300.0,Pubs and bars
Kadamba Foodline,Yes,No,3.7,29,Ulsoor,Casual Dining,others,400.0,Dine-out
Metro Military Hotel,Yes,No,3.7,0,Shanti Nagar,Quick Bites,"South Indian, Chinese, North Indian",300.0,Delivery
Queen Pearls,Yes,No,3.6,25,Ejipura,"Takeaway, Delivery",Pizza,500.0,Delivery
Hongkong Garden,Yes,No,3.9,310,Kaggadasapura,Casual Dining,others,500.0,Delivery
Green Pepper,Yes,No,3.9,262,Jeevan Bhima Nagar,Casual Dining,others,600.0,Delivery
Alampur Bar And Restaurant,Yes,No,3.7,42,Race Course Road,Casual Dining,others,900.0,Delivery
Cupcake Bliss,Yes,No,3.3,8,Bellandur,Bakery,Bakery,250.0,Delivery
Mainland China,Yes,Yes,4.5,1426,Church Street,"Casual Dining, Bar",Chinese,1700.0,Dine-out
Ambur Dum Biriyani,No,No,3.1,10,Indiranagar,Quick Bites,Biryani,200.0,Dine-out
The Reservoire,No,Yes,4.5,2601,Koramangala 5th Block,others,others,1300.0,Pubs and bars
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,others,500.0,Delivery
South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,others,400.0,Delivery
Siddique Kabab Centre,Yes,No,3.9,431,Frazer Town,Casual Dining,others,550.0,Delivery
Juicemaker,No,No,3.9,164,Koramangala 8th Block,others,"Beverages, Fast Food",400.0,Delivery
New Grand Hotel,No,No,3.5,0,City Market,Quick Bites,"North Indian, Biryani",200.0,Dine-out
Eagles Pizza,Yes,No,3.8,22,Kalyan Nagar,Quick Bites,others,650.0,Dine-out
Rajeev Bakery & Juice,No,No,3.4,0,Richmond Road,others,others,150.0,Desserts
Delicious Cakes,Yes,No,3.1,9,Marathahalli,Dessert Parlor,Bakery,400.0,Delivery
Dolci Desserts,Yes,No,4.3,657,Cunningham Road,others,"Cafe, Desserts",750.0,Dine-out
Tawa Fresh,Yes,No,3.4,12,Hennur,Quick Bites,others,300.0,Delivery
Halli Mane,Yes,No,3.2,5,Majestic,Quick Bites,South Indian,300.0,Delivery
Raanthal,No,No,3.4,0,HBR Layout,Quick Bites,others,400.0,Dine-out
Cafe Mangii,Yes,Yes,4.3,1053,Lavelle Road,Casual Dining,others,1600.0,Buffet
Tandoori Paradise,Yes,No,3.5,8,BTM,Delivery,"North Indian, Chinese",600.0,Delivery
Drunken Monkey,Yes,No,3.3,8,Whitefield,others,"Beverages, Fast Food",500.0,Dine-out
Mumbai Kulfi,Yes,No,3.6,0,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",200.0,Delivery
Sethi's,Yes,No,3.0,0,JP Nagar,Delivery,others,600.0,Delivery
Beach Hut,No,No,3.5,134,JP Nagar,Casual Dining,"North Indian, Chinese",650.0,Delivery
Dehati Murgee,Yes,No,4.0,155,Whitefield,Quick Bites,"North Indian, Mughlai",600.0,Dine-out
Ambur Dum Biryani,No,No,3.7,0,Bellandur,others,"Biryani, South Indian",250.0,Dine-out
RÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂªveur Chocolates,No,No,3.7,13,Koramangala 4th Block,Dessert Parlor,Desserts,400.0,Desserts
Delicate Bites,No,No,3.4,0,Sarjapur Road,Delivery,"Bakery, Desserts",300.0,Desserts
Sharief Bhai,No,Yes,4.4,1557,Koramangala 5th Block,Casual Dining,others,700.0,Dine-out
Soul Curry Restaurant,No,No,3.6,18,Electronic City,"Casual Dining, Bar",others,600.0,Pubs and bars
Swadist Pakhal Restaurant,Yes,No,3.5,16,Sarjapur Road,Casual Dining,others,550.0,Delivery
Dilli Galli,Yes,No,3.6,43,Whitefield,Quick Bites,North Indian,200.0,Delivery
Crisp Cafe,No,No,4.0,97,Indiranagar,others,others,1100.0,Cafes
Rolls Mania,Yes,No,3.7,32,Koramangala 6th Block,Quick Bites,"Fast Food, Rolls",450.0,Delivery
Calvin's,Yes,No,3.8,22,HSR,others,Desserts,800.0,Delivery
Blue Tokai Coffee Roasters,Yes,No,4.0,29,Whitefield,Cafe,Cafe,750.0,Cafes
Azura Restaurant,Yes,No,2.8,98,Bellandur,Casual Dining,others,500.0,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,others,others,300.0,Desserts
New Shalimar Hotel,No,No,3.6,0,Whitefield,Quick Bites,"North Indian, Biryani",250.0,Dine-out
The Adukkala Restaurant,Yes,No,3.6,40,Brigade Road,Casual Dining,Kerala,500.0,Delivery
Tasty Munch,Yes,No,3.6,60,Rajajinagar,Quick Bites,others,200.0,Delivery
Cafe @ Elanza,No,No,3.7,145,Richmond Road,others,others,1000.0,Buffet
Crumbz Crunches,Yes,No,3.1,44,Electronic City,Quick Bites,"North Indian, Chinese",450.0,Delivery
Flame Pub & Restaurant - Brigade Garden,No,No,2.9,24,Brigade Road,others,others,1900.0,Dine-out
Lotus Pavilion - ITC Gardenia,No,Yes,4.2,175,Richmond Road,others,Continental,3000.0,Dine-out
Mahesh Friends Food Center,Yes,No,2.9,141,BTM,Quick Bites,"Chinese, North Indian",300.0,Delivery
Eat N Drinks,Yes,No,3.4,7,Bellandur,Quick Bites,others,150.0,Delivery
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,others,1600.0,Buffet
Butter Side Up,Yes,No,4.1,111,Bellandur,Dessert Parlor,"Desserts, Bakery",600.0,Desserts
WelcomCafe Jacaranda - WelcomHotel Bengaluru,No,No,4.0,53,Richmond Road,others,others,2000.0,Dine-out
Ghee Positive,Yes,No,3.8,48,Koramangala 8th Block,Quick Bites,"North Indian, Chinese",300.0,Delivery
AM Biryani Junction,No,No,3.6,0,Richmond Road,Quick Bites,"North Indian, Chinese, Biryani",300.0,Dine-out
The Globe Grub,No,Yes,4.8,3932,Marathahalli,Casual Dining,others,1300.0,Buffet
Namana Restaurant,No,No,3.7,30,Basaveshwara Nagar,Quick Bites,others,300.0,Dine-out
WTF,Yes,No,4.1,93,Koramangala 5th Block,Cafe,"Cafe, Continental",600.0,Dine-out
K27 - The Pub,No,No,3.1,30,Banashankari,others,"Chinese, North Indian",1000.0,Drinks & nightlife
Tasty Jigarthanda,Yes,No,3.4,10,BTM,others,others,150.0,Delivery
Nandanam Family Restaurant,Yes,No,3.6,18,BTM,Quick Bites,others,350.0,Dine-out
Kabab Magic,Yes,No,3.0,321,Sarjapur Road,Quick Bites,others,500.0,Delivery
Trofi N Treats,Yes,No,2.8,9,Vijay Nagar,others,others,250.0,Dine-out
Shri Madhuram,No,No,3.9,371,HSR,Casual Dining,"South Indian, North Indian",400.0,Dine-out
Chination,Yes,No,3.5,4,Koramangala 4th Block,Delivery,Chinese,600.0,Delivery
Barbeque Delight,Yes,No,3.7,65,Koramangala 5th Block,Casual Dining,others,800.0,Delivery
Mangala's Tea Time Cafe,Yes,No,3.0,0,Koramangala 1st Block,Quick Bites,others,150.0,Delivery
Omleterian,Yes,No,3.4,0,BTM,Quick Bites,others,200.0,Delivery
Invitation Bar & Restaurant,No,No,3.0,16,BTM,others,North Indian,1000.0,Drinks & nightlife
Juice Shop,Yes,No,3.5,22,BTM,"Takeaway, Delivery",others,150.0,Delivery
Chai Galli,Yes,No,4.1,825,Brookefield,Cafe,others,300.0,Delivery
Swathi Greenland,Yes,No,3.7,174,Vijay Nagar,"Casual Dining, Bar",others,800.0,Pubs and bars
Gods Own Cafe,Yes,No,4.4,384,Koramangala 7th Block,Quick Bites,others,300.0,Dine-out
Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1,565,MG Road,others,others,2500.0,Dine-out
Just Bake,Yes,No,3.8,12,MG Road,Bakery,"Bakery, Desserts",400.0,Desserts
Flavours - Octave Hotel & Spa,No,No,3.0,197,Sarjapur Road,Casual Dining,"North Indian, Chinese",700.0,Dine-out
Today Coffee,Yes,No,3.7,0,Electronic City,Quick Bites,South Indian,150.0,Delivery
Cafesta,Yes,No,4.3,590,Whitefield,Cafe,others,550.0,Cafes
Sea Lions BBQ & Grills,No,Yes,4.6,538,Jayanagar,Casual Dining,others,1100.0,Buffet
3G's - Gulp & Groove,Yes,Yes,4.1,664,Malleshwaram,others,others,1100.0,Delivery
Dessert Bar,Yes,No,3.3,0,Whitefield,Dessert Parlor,others,400.0,Delivery
Barbeque Nation,No,Yes,4.4,1084,Ulsoor,Casual Dining,others,1600.0,Dine-out
Oil Pump,No,No,3.7,68,Koramangala 6th Block,others,others,1000.0,Dine-out
Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,4.5,751,Whitefield,others,others,900.0,Delivery
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese",400.0,Dine-out
The Terminus - The Oterra,No,Yes,4.0,119,Electronic City,others,others,2500.0,Dine-out
Whats Ap,No,No,3.3,6,Whitefield,Casual Dining,Andhra,800.0,Delivery
Hotel Shangrila,No,No,3.7,125,Brigade Road,Casual Dining,"Chinese, Thai, Momos",600.0,Dine-out
Biryani Rooh-e-Khaas,Yes,No,3.3,0,Koramangala 1st Block,Quick Bites,others,500.0,Dine-out
Udupi Grand,No,No,2.8,64,Koramangala 7th Block,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out
Oyalo,Yes,No,3.2,9,Malleshwaram,Quick Bites,Pizza,300.0,Dine-out
Cold Station,Yes,No,3.8,18,Rajajinagar,Quick Bites,others,250.0,Delivery
Ambur Biryani,Yes,No,3.9,0,Koramangala 8th Block,Quick Bites,Biryani,200.0,Delivery
S.W.A.T Food Truck,No,No,3.7,21,Koramangala 5th Block,Quick Bites,others,250.0,Dine-out
M.M Restaurant,Yes,No,3.9,184,HSR,Casual Dining,others,600.0,Delivery
Nandhini Deluxe,No,No,3.6,196,Frazer Town,Casual Dining,North Indian,600.0,Dine-out
H3O,No,No,3.1,11,Indiranagar,others,"North Indian, Chinese",1000.0,Drinks & nightlife
Cool Point,No,No,3.2,7,Koramangala 5th Block,Quick Bites,others,100.0,Dine-out
Jaganath Restaurant And Hotel,No,No,3.2,8,JP Nagar,Quick Bites,North Indian,300.0,Delivery
CHAAI BEE,No,No,3.5,8,Koramangala 7th Block,others,others,250.0,Dine-out
Goodness! Beverages,No,No,3.7,0,Sarjapur Road,others,Beverages,250.0,Delivery
Mom's Momos,No,No,3.7,25,Bannerghatta Road,Quick Bites,Chinese,100.0,Dine-out
Cafe Happytizing,Yes,No,4.1,351,Electronic City,Cafe,others,700.0,Cafes
Eat At Nite,Yes,No,3.4,76,Frazer Town,"Takeaway, Delivery",others,400.0,Delivery
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,others,others,350.0,Dine-out
Shanmukha,Yes,No,3.5,0,Electronic City,"Takeaway, Delivery",others,400.0,Delivery
Tata Cha,Yes,No,3.9,661,Indiranagar,Cafe,others,500.0,Dine-out
Skyline Family Restaurant,Yes,No,3.4,33,Shanti Nagar,Casual Dining,others,550.0,Delivery
Arbor Brewing Company,No,Yes,4.5,8382,Brigade Road,others,others,2000.0,Drinks & nightlife
Cookie Man,Yes,No,3.4,0,Bannerghatta Road,Dessert Parlor,Bakery,150.0,Desserts
Brew and Barbeque - A Microbrewery Pub,Yes,Yes,4.6,5894,Marathahalli,others,others,1400.0,Buffet
Taj Hotel,Yes,No,3.7,111,Shivajinagar,Casual Dining,"North Indian, Chinese",550.0,Delivery
Om Sri Vinayaka Chats,No,No,3.8,0,Banashankari,"Takeaway, Delivery",others,500.0,Delivery
Maddy's Cafe,Yes,No,3.8,35,Kammanahalli,Cafe,"Cafe, Continental",500.0,Delivery
Shree Laxmi Scoop Ice Cream Parlour,No,No,3.3,0,Whitefield,Dessert Parlor,Ice Cream,120.0,Delivery
Selfie Cafe,No,No,3.7,19,Koramangala 7th Block,others,others,300.0,Dine-out
Dev's Gugababa,Yes,No,3.5,177,BTM,Quick Bites,others,500.0,Dine-out
Bewiched,Yes,No,3.4,10,HSR,Quick Bites,others,300.0,Delivery
Cafe Kaara,No,No,4.3,166,Ulsoor,Cafe,others,750.0,Dine-out
Bonbonbite,No,No,3.5,10,Jalahalli,Bakery,"Bakery, Desserts",450.0,Desserts
Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2,132,Brigade Road,Dessert Parlor,Ice Cream,180.0,Delivery
Fine Dine Restaurant,No,No,3.3,0,Electronic City,Quick Bites,others,200.0,Delivery
Royal Dine Family Restaurant,No,No,3.2,0,BTM,Quick Bites,others,400.0,Delivery
Chatori Tongue,Yes,No,3.9,65,Sarjapur Road,Quick Bites,Street Food,100.0,Delivery
eat.fit,Yes,No,4.5,875,Indiranagar,Delivery,others,500.0,Delivery
Village - The Soul of India,No,Yes,4.3,2464,JP Nagar,Casual Dining,others,1000.0,Dine-out
Moriz Restaurant,Yes,No,2.6,76,Bellandur,Casual Dining,others,800.0,Delivery
The Ritz-Carlton Bar - The Ritz-Carlton,No,No,4.0,93,Residency Road,others,Finger Food,2000.0,Dine-out
Dhe Chef Cafe,No,No,3.4,0,BTM,Quick Bites,others,200.0,Dine-out
Oyster Bay,No,No,3.2,5,Old Airport Road,Casual Dining,North Indian,550.0,Delivery
Srinidhi Sagar Food Line,Yes,No,3.7,129,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",40.0,Delivery
Chirayu Biryani House,No,No,3.3,0,Whitefield,Delivery,Biryani,300.0,Delivery
Curry Leaves,Yes,No,4.1,176,Basavanagudi,Casual Dining,others,800.0,Delivery
Savoury Restaurant,Yes,No,2.9,833,Sarjapur Road,Casual Dining,others,800.0,Delivery
Choice Bakery,No,No,3.5,0,BTM,others,"Bakery, Fast Food",200.0,Desserts
Driven Cafe,Yes,No,3.4,122,Residency Road,Cafe,others,600.0,Cafes
ReFresh Juice Junction,Yes,No,4.1,57,Koramangala 1st Block,others,others,200.0,Delivery
7 Plates,Yes,No,3.9,169,Frazer Town,Quick Bites,others,600.0,Delivery
Chung's Chinese Corner,Yes,No,3.3,201,Cunningham Road,Casual Dining,Chinese,700.0,Delivery
The Corner - Hyatt Centric MG Road,No,No,3.6,0,Ulsoor,Cafe,others,1000.0,Desserts
BEIR,Yes,No,4.1,0,Bannerghatta Road,Casual Dining,others,800.0,Delivery
Watson's,No,Yes,4.2,1428,Ulsoor,others,others,1300.0,Dine-out
99 Caffe,Yes,No,3.6,106,Brookefield,Quick Bites,"South Indian, North Indian, Chinese",250.0,Delivery
Bhaiyajees,No,No,3.7,16,Richmond Road,"Takeaway, Delivery","North Indian, South Indian",300.0,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© S,No,No,3.2,4,Koramangala 4th Block,Cafe,others,600.0,Dine-out
Nawabi Zaica,Yes,No,3.5,19,Marathahalli,Casual Dining,"North Indian, Mughlai, Chinese",600.0,Delivery
Cake Dilim,Yes,No,3.6,17,Whitefield,Dessert Parlor,"Bakery, Desserts",400.0,Desserts
Baking Delite,No,No,3.3,0,Koramangala 7th Block,"Takeaway, Delivery",Desserts,550.0,Delivery
Stories,Yes,Yes,4.2,2192,JP Nagar,others,others,1200.0,Delivery
The Flavours,No,No,3.2,7,Kalyan Nagar,Casual Dining,others,500.0,Dine-out
Armani Kabab Centre,No,No,3.2,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300.0,Dine-out
Maa Reddy's Hyderabadi Biryani House,No,No,3.8,49,Electronic City,Quick Bites,"Biryani, North Indian, Chinese",400.0,Dine-out
Zero Mile Punjab,Yes,Yes,4.1,1342,HSR,Casual Dining,"North Indian, Mughlai",800.0,Delivery
Bombay Brasserie,Yes,No,4.4,1865,Indiranagar,Casual Dining,others,1800.0,Dine-out
Nandi Mess - Feel Like Mom's,Yes,No,3.7,31,Whitefield,Quick Bites,South Indian,250.0,Dine-out
Swad E Punjab,No,No,3.4,7,Whitefield,Casual Dining,North Indian,600.0,Dine-out
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,Casual Dining,others,800.0,Delivery
The Hidden Home,Yes,Yes,4.3,994,Sarjapur Road,Casual Dining,others,1300.0,Dine-out
Ruchimayam Restaurant,No,No,3.5,0,Electronic City,Quick Bites,others,350.0,Delivery
Home Food,Yes,No,3.4,11,Kammanahalli,Quick Bites,South Indian,300.0,Delivery
Bhartiya Jalpan,No,No,3.2,0,Commercial Street,Casual Dining,"North Indian, Street Food",700.0,Delivery
Brewbakes,No,No,3.3,7,New BEL Road,Cafe,others,450.0,Dine-out
Akshara,Yes,No,3.8,42,Electronic City,Casual Dining,"North Indian, South Indian, Chinese",700.0,Delivery
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,others,500.0,Dine-out
The Hungers Zone,Yes,No,3.8,57,BTM,Quick Bites,others,300.0,Delivery
Upahara Darshini,Yes,No,3.9,339,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0,Dine-out
Namma Kudla,No,No,4.2,62,Malleshwaram,Quick Bites,others,350.0,Dine-out
Mango Tree- The Beer Garden,Yes,Yes,4.1,1322,JP Nagar,Casual Dining,"North Indian, Chinese, Continental",1200.0,Dine-out
Fandom at Gilly's Redefined,No,No,3.9,109,Koramangala 4th Block,others,Finger Food,1500.0,Pubs and bars
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,others,600.0,Dine-out
Cane Crussh,Yes,No,3.8,0,BTM,others,others,100.0,Delivery
Krazzy Folds,Yes,Yes,4.2,1901,Jayanagar,Cafe,others,800.0,Delivery
Hangover,Yes,Yes,4.3,797,HSR,others,others,1500.0,Drinks & nightlife
Shanthi Sagar,Yes,No,4.0,208,Ulsoor,Quick Bites,others,250.0,Delivery
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300.0,Desserts
Bangalore Biriyani,No,No,3.4,0,Shanti Nagar,"Takeaway, Delivery","Biryani, Kebab",250.0,Delivery
The Tower Of Pizza,No,No,2.9,68,Jeevan Bhima Nagar,"Takeaway, Delivery",others,500.0,Delivery
Rolls On Wheels,No,No,3.5,132,Sarjapur Road,Quick Bites,others,300.0,Delivery
Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,"Fast Food, Beverages",400.0,Dine-out
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,136,St. Marks Road,Casual Dining,others,800.0,Dine-out
Hotel Ramprasad,Yes,No,4.2,93,Brigade Road,Quick Bites,"South Indian, Chinese",300.0,Delivery
Pani Kum Chai,Yes,No,3.9,67,Jayanagar,Quick Bites,Fast Food,200.0,Delivery
TheRiceBowl.In,Yes,No,3.4,19,BTM,others,"Biryani, North Indian",200.0,Delivery
Roti's Ghar,Yes,No,3.4,11,Bellandur,"Takeaway, Delivery",others,200.0,Delivery
Indira Darshini,Yes,No,3.6,28,Frazer Town,Quick Bites,"South Indian, Chinese",200.0,Delivery
Crumb Together,Yes,Yes,4.1,592,JP Nagar,"Casual Dining, Bar",others,1200.0,Drinks & nightlife
GMT - Gelateria Montecatini Terme,Yes,No,4.4,69,Lavelle Road,Quick Bites,"Desserts, Ice Cream",300.0,Desserts
Dhanlaxmi Sweets & Chats,No,No,3.2,0,Brookefield,others,Mithai,400.0,Desserts
Samosa Singh,Yes,No,4.0,326,HSR,Delivery,others,200.0,Delivery
Unicorn Bar & Restaurant,No,No,3.9,119,Infantry Road,"Casual Dining, Bar",others,800.0,Dine-out
Swathi Restaurant,Yes,No,4.0,0,HSR,"Takeaway, Delivery",others,400.0,Delivery
Carrots,Yes,Yes,4.1,602,Koramangala 6th Block,Casual Dining,others,1100.0,Delivery
MISU,Yes,Yes,4.5,1238,St. Marks Road,"Casual Dining, Bar",others,1700.0,Delivery
Cuppa,No,No,3.2,59,Jayanagar,others,"Cafe, Fast Food",550.0,Cafes
Mughals Restaurant,No,No,3.1,17,Shivajinagar,Casual Dining,others,550.0,Delivery
Naati Manae,Yes,Yes,3.9,485,Koramangala 5th Block,Casual Dining,others,700.0,Buffet
Hatti Punjab Di,No,No,3.3,24,HSR,Casual Dining,"North Indian, Chinese",600.0,Delivery
Happy Kitchen,No,No,3.8,78,Marathahalli,Quick Bites,"North Indian, Chinese",350.0,Dine-out
Alchemy - The Chancery Pavilion,No,Yes,4.3,476,Residency Road,others,others,2000.0,Desserts
Fabcafe,Yes,Yes,4.1,54,MG Road,Cafe,others,800.0,Desserts
Doof,Yes,No,4.0,371,Electronic City,Delivery,"Fast Food, Beverages",450.0,Delivery
eat.fit,Yes,No,4.5,1187,BTM,Delivery,others,500.0,Delivery
Sri Basaveshwara Rotti Oota,No,No,3.2,0,Jayanagar,Quick Bites,"South Indian, Fast Food",200.0,Dine-out
Arya Hungry?,Yes,No,4.3,279,Koramangala 7th Block,Quick Bites,North Indian,450.0,Delivery
Tasty Bites,Yes,No,3.8,1,JP Nagar,Quick Bites,North Indian,450.0,Dine-out
7 Hills Andhra Mess,No,No,3.4,8,CV Raman Nagar,others,Andhra,300.0,Dine-out
Hyderabad Biryaani Palace,No,No,3.5,13,Bellandur,Casual Dining,others,700.0,Dine-out
The ThickShake Factory,No,No,4.3,236,Koramangala 7th Block,others,others,350.0,Delivery
Vyanjan,Yes,No,3.9,199,BTM,Quick Bites,"North Indian, Street Food",300.0,Delivery
AKSHAYA BIRYANI,Yes,No,3.6,20,Sarjapur Road,Quick Bites,"Biryani, North Indian",300.0,Delivery
De3 - The Eatery,No,No,3.1,13,North Bangalore,others,Fast Food,250.0,Dine-out
Red Bawarchi,Yes,No,3.0,21,BTM,Delivery,others,600.0,Delivery
South Tiffins,Yes,No,3.6,144,HSR,Quick Bites,South Indian,150.0,Delivery
Ghee Biryanis,Yes,No,3.4,137,BTM,"Takeaway, Delivery","Biryani, North Indian",500.0,Delivery
Kabab Mirchi,No,No,3.2,4,Marathahalli,Quick Bites,others,300.0,Dine-out
Night Biryani,Yes,No,3.2,20,BTM,"Takeaway, Delivery","Biryani, North Indian",600.0,Delivery
Apple Cafe,No,No,3.3,14,Marathahalli,Quick Bites,"Beverages, Fast Food",300.0,Delivery
SLN Lunch Home,No,No,3.9,28,City Market,Quick Bites,South Indian,100.0,Dine-out
Talk Over Table,No,No,4.0,287,Jeevan Bhima Nagar,Cafe,Cafe,500.0,Cafes
Big Box Theory,No,No,3.6,11,Ejipura,Delivery,others,550.0,Delivery
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.1,54,Indiranagar,Delivery,Continental,500.0,Delivery
Lazio Steaks & More,Yes,No,3.9,119,Frazer Town,Casual Dining,others,1000.0,Delivery
Punjabi's Food Corner,Yes,No,3.6,89,CV Raman Nagar,Quick Bites,"North Indian, Chinese",250.0,Delivery
MG's Fine Dining & Bar - Springs Hotel & Spa,No,Yes,3.8,21,Basavanagudi,Casual Dining,others,800.0,Buffet
